"","DHSCLUST","m0_1y_hiv","m0_1y_nonhiv","gt1_hiv","gt1_nonhiv","total_pop","m0_1y_hiv_rate","gt1_hiv_rate","allm0_1y_rate","all_hiv_rate","pop_rate"
"68",68,0,5.072582,2.55671,29.259232,36.888524,0,0.0693090891899063,0.137511113212337,0.0693090891899063,0.00234351751091402
"69",69,0,1.020378,7.10074,35.937394,44.058512,0,0.161166132891642,0.0231596110190921,0.161166132891642,0.00279902482346042
"70",70,1.092776,4.33264,2.147088,36.53896,44.111464,0.0247730612613537,0.048674149649624,0.122993333433685,0.0734472109109777,0.00280238884906464
"71",71,0,1.042265,1.571865,7.84239,10.45652,0,0.150323912735786,0.0996760872642141,0.150323912735786,0.0006642997622573
"72",72,0,0,7.718117,22.996737,30.714854,0,0.251282880914882,0,0.251282880914882,0.00195130599950726
"73",73,1.134931,7.643053,10.897114,37.381798,57.056896,0.0198912152529293,0.190986800263372,0.153846153846154,0.210878015516301,0.00362480848771288
"74",74,0,1.451124,10.000198,49.133805,60.585127,0,0.165060279563332,0.0239518190660886,0.165060279563332,0.00384895600662824
"75",75,2.42808,1.243263,9.829212,30.497115,43.99767,0.0551865587427698,0.223403012023137,0.0834440323771691,0.278589570765906,0.00279515954838466
"76",76,0,0.797878,3.94895,12.253877,17.000705,0,0.232281543618338,0.046932053700126,0.232281543618338,0.00108004998696569
"77",77,0,0.822666,1.374588,9.646462,11.843716,0,0.116060533704118,0.0694601255214158,0.116060533704118,0.000752427932337238
"78",78,0,4.153485,2.897254,68.577773,75.628512,0,0.0383090176361,0.0549195652560241,0.0383090176361,0.00480465800681999
"79",79,0,0.523923,5.494654,13.608923,19.6275,0,0.279946707425806,0.0266933129537639,0.279946707425806,0.00124692953140291
"80",80,0,0,4.532689,23.978194,28.510883,0,0.158981010865219,0,0.158981010865219,0.0018112883443675
"81",81,0.254977,1.54235,1.019908,7.351652,10.168887,0.0250742288708686,0.100296915483474,0.176747661764754,0.125371144354343,0.000646026519006452
"82",82,0,1.323654,2.585084,45.270082,49.17882,0,0.0525649863091469,0.0269151232176779,0.0525649863091469,0.00312431654451907
"83",83,0.313324,0.93981,2.506106,10.964396,14.723636,0.0212803413504653,0.170209722652747,0.0851103626848694,0.191490064003212,0.000935388436531754
"84",84,2.515004,2.515004,3.815693,55.243714,64.089415,0.0392421119774615,0.0595370233914602,0.078484223954923,0.0987791353689217,0.00407158243351606
"85",85,0.668206,2.65147,5.30294,17.277263,25.899879,0.0257995799903158,0.204747674689909,0.12817341733527,0.230547254680225,0.00164541199770027
"86",86,1.559938,1.559938,7.65254,42.795364,53.56778,0.0291208259890554,0.142857142857143,0.0582416519781107,0.171977968846198,0.00340314593369987
"87",87,0,2.980144,5.413899,17.951778,26.345821,0,0.205493653054122,0.11311638380903,0.205493653054122,0.00167374256700827
"88",88,0,0,18.88863,43.928025,62.816655,0,0.300694616738188,0,0.300694616738188,0.00399072435019479
"89",89,2.661377,4.063581,9.290981,29.465855,45.481794,0.0585152160004946,0.204279123202572,0.147860438398714,0.262794339203067,0.00288944552692822
"90",90,0,0.881773,5.056418,26.222418,32.160609,0,0.157223950578797,0.0274177954776914,0.157223950578797,0.00204315440631778
"91",91,0,1.693132,3.408415,18.735207,23.836754,0,0.142989897030443,0.071030308908671,0.142989897030443,0.00151434224915992
"92",92,0.476522,1.918176,4.312874,10.055314,16.762886,0.0284272051960504,0.257287080518235,0.142857142857143,0.285714285714286,0.00106494141306536
"93",93,3.577606,12.332732,8.818089,43.964519,68.692946,0.0520811263502951,0.128369643660355,0.231615310253254,0.18045077001065,0.00436404345772336
"94",94,0,1.050644,4.32684,13.024319,18.401803,0,0.235131307513726,0.0570946227388697,0.235131307513726,0.00116906134717914
"95",95,0.609132,4.923896,3.680212,18.60442,27.81766,0.0218973127142973,0.132297684276823,0.198903430410753,0.15419499699112,0.00176724808297162
"96",96,0.477751,1.423567,3.773578,14.655305,20.330201,0.0234995709093088,0.185614397024407,0.0935218495872225,0.209113967933716,0.00129157192746182
"97",97,0.803575,1.628176,1.628176,15.373055,19.432982,0.0413510906354979,0.0837841562350029,0.125135246870501,0.125135246870501,0.00123457185780263
"98",98,0,0.342542,2.426109,12.090904,14.859555,0,0.163269290365694,0.0230519689183155,0.163269290365694,0.00094402333221275
"99",99,0,0.498086,0.510282,5.303079,6.311447,0,0.0808502392557523,0.0789178773108607,0.0808502392557523,0.000400964445302983
"100",100,0,16.525244,18.937316,83.201036,118.663596,0,0.159588253165697,0.139261277738457,0.159588253165697,0.00753866473849772
"101",101,0,5.312468,9.008211,37.288809,51.609488,0,0.174545637809854,0.102935878767098,0.174545637809854,0.00327873619604046
"102",102,0,1.229498,1.837043,20.185861,23.252402,0,0.0790044400574186,0.0528761716746511,0.0790044400574186,0.00147721853164448
"103",103,0,2.04816,4.074112,19.621216,25.743488,0,0.158257964111157,0.0795603144375774,0.158257964111157,0.00163547652164139
"104",104,0,1.77463,5.333393,14.72523,21.833253,0,0.244278440780217,0.0812810624234511,0.244278440780217,0.00138706039649936
"105",105,0,2.323768,3.461293,43.014067,48.799128,0,0.070929402672933,0.0476190476190476,0.070929402672933,0.00310019481899939
"106",106,2.632558,7.824168,8.044686,47.386044,65.887456,0.0399553748136823,0.122097383756932,0.158705869596786,0.162052758570615,0.00418581147040682
"107",107,0,1.13745,2.2749,36.100704,39.513054,0,0.0575733781549763,0.0287866890774882,0.0575733781549763,0.00251025316054097
"108",108,1.213247,3.639741,9.534871,36.869202,51.257061,0.0236698510669584,0.186020634308315,0.0946794042678335,0.209690485375273,0.00325634660827005
"109",109,0,0,3.123046,7.476327,10.599373,0,0.294644409626871,0,0.294644409626871,0.000673375172999854
"110",110,0,0,1.556583,44.455691,46.012274,0,0.0338297342139621,0,0.0338297342139621,0.00292314677149929
"111",111,1.829327,11.088294,11.088294,37.092034,61.097949,0.0299408904871749,0.181483898911238,0.211424789398413,0.211424789398413,0.00388153544344663
"112",112,0,0,1.224761,10.61615,11.840911,0,0.103434693496134,0,0.103434693496134,0.000752249731479483
